time	from	to
2019-07-01T00:00:00	854	840
2019-07-01T00:00:00	858	854
2019-07-01T00:00:00	858	852
2019-07-01T00:00:00	858	840
2019-07-01T00:00:00	864	866
2019-07-01T00:00:00	864	868
2019-07-01T00:00:00	866	864
2019-07-01T00:00:00	866	868
2019-07-01T00:00:00	868	864
2019-07-01T00:00:00	868	866
2019-07-01T00:00:00	870	873
2019-07-01T00:00:00	870	875
2019-07-01T00:00:00	870	874
2019-07-01T00:00:00	873	870
2019-07-01T00:00:00	873	875
2019-07-01T00:00:00	873	874
2019-07-01T00:00:00	874	870
2019-07-01T00:00:00	874	873
2019-07-01T00:00:00	874	875
2019-07-01T00:00:00	875	870
2019-07-01T00:00:00	875	873
2019-07-01T00:00:00	875	874
2019-07-01T00:00:00	889	893
2019-07-01T00:00:00	889	897
2019-07-01T00:00:00	889	894
2019-07-01T00:00:00	893	889
2019-07-01T00:00:00	893	897
2019-07-01T00:00:00	893	894
2019-07-01T00:00:00	894	889
2019-07-01T00:00:00	894	893
2019-07-01T00:00:00	894	897
2019-07-01T00:00:00	897	889
2019-07-01T00:00:00	897	893
2019-07-01T00:00:00	897	894
2019-07-01T00:00:00	904	909
2019-07-01T00:00:00	904	912
2019-07-01T00:00:00	906	915
2019-07-01T00:00:00	906	919
2019-07-01T00:00:00	909	904
2019-07-01T00:00:00	909	912
2019-07-01T00:00:00	910	921
2019-07-01T00:00:00	912	909
2019-07-01T00:00:00	912	904
2019-07-01T00:00:00	915	906
2019-07-01T00:00:00	915	919
2019-07-01T00:00:00	919	906
2019-07-01T00:00:00	919	915
2019-07-01T00:00:00	921	910
2019-07-01T00:00:00	928	932
2019-07-01T00:00:00	928	930
2019-07-01T00:00:00	930	932
2019-07-01T00:00:00	930	928
2019-07-01T00:00:00	932	928
2019-07-01T00:00:00	932	930
2019-07-01T00:00:00	936	949
2019-07-01T00:00:00	936	950
2019-07-01T00:00:00	939	953
2019-07-01T00:00:00	943	947
2019-07-01T00:00:00	943	946
2019-07-01T00:00:00	946	947
2019-07-01T00:00:00	946	943
2019-07-01T00:00:00	947	946
2019-07-01T00:00:00	947	943
2019-07-01T00:00:00	949	936
2019-07-01T00:00:00	949	950
2019-07-01T00:00:00	950	949
2019-07-01T00:00:00	950	936
2019-07-01T00:00:00	953	939
2019-07-01T00:00:00	955	959
2019-07-01T00:00:00	955	971
2019-07-01T00:00:00	959	971
2019-07-01T00:00:00	959	955
2019-07-01T00:00:00	968	993
2019-07-01T00:00:00	968	998
2019-07-01T00:00:00	971	959
2019-07-01T00:00:00	971	955
2019-07-01T00:00:00	973	974
2019-07-01T00:00:00	973	983
2019-07-01T00:00:00	974	983
2019-07-01T00:00:00	974	973
2019-07-01T00:00:00	979	982
2019-07-01T00:00:00	979	980
2019-07-01T00:00:00	980	982
2019-07-01T00:00:00	980	979
2019-07-01T00:00:00	982	979
2019-07-01T00:00:00	982	980
2019-07-01T00:00:00	983	974
2019-07-01T00:00:00	983	973
2019-07-01T00:00:00	987	991
2019-07-01T00:00:00	987	992
2019-07-01T00:00:00	991	987
2019-07-01T00:00:00	991	992
2019-07-01T00:00:00	992	987
2019-07-01T00:00:00	992	991
2019-07-01T00:00:00	993	968
2019-07-01T00:00:00	993	998
2019-07-01T00:00:00	998	993
2019-07-01T00:00:00	998	968
2019-07-02T00:00:00	1	960
2019-07-02T00:00:00	2	786
2019-07-02T00:00:00	2	534
2019-07-02T00:00:00	4	635
2019-07-02T00:00:00	4	840
2019-07-02T00:00:00	5	546
2019-07-02T00:00:00	6	421
2019-07-02T00:00:00	6	986
2019-07-02T00:00:00	6	618
2019-07-02T00:00:00	6	422
2019-07-02T00:00:00	6	199
2019-07-02T00:00:00	7	638
2019-07-02T00:00:00	8	462
2019-07-02T00:00:00	10	531
2019-07-02T00:00:00	10	37
2019-07-02T00:00:00	10	716
2019-07-02T00:00:00	11	488
2019-07-02T00:00:00	11	157
2019-07-02T00:00:00	12	495
2019-07-02T00:00:00	12	638
2019-07-02T00:00:00	12	523
2019-07-02T00:00:00	13	718
2019-07-02T00:00:00	13	669
2019-07-02T00:00:00	13	403
2019-07-02T00:00:00	13	719
2019-07-02T00:00:00	14	627
2019-07-02T00:00:00	14	965
2019-07-02T00:00:00	14	805
2019-07-02T00:00:00	15	110
2019-07-02T00:00:00	15	750
2019-07-02T00:00:00	18	843
2019-07-02T00:00:00	18	995
2019-07-02T00:00:00	18	999
2019-07-02T00:00:00	19	56
2019-07-02T00:00:00	19	722
2019-07-02T00:00:00	19	587
2019-07-02T00:00:00	19	525
2019-07-02T00:00:00	19	205
2019-07-02T00:00:00	19	129
2019-07-02T00:00:00	21	414
2019-07-02T00:00:00	21	559
2019-07-02T00:00:00	21	889
2019-07-02T00:00:00	21	81
2019-07-02T00:00:00	21	893
2019-07-02T00:00:00	22	460
2019-07-02T00:00:00	22	69
2019-07-02T00:00:00	22	62
2019-07-02T00:00:00	23	240
2019-07-02T00:00:00	24	269
2019-07-02T00:00:00	24	909
2019-07-02T00:00:00	25	311
2019-07-02T00:00:00	27	346
2019-07-02T00:00:00	27	871
2019-07-02T00:00:00	27	187
2019-07-02T00:00:00	28	765
2019-07-02T00:00:00	29	202
2019-07-02T00:00:00	29	727
2019-07-02T00:00:00	29	617
2019-07-02T00:00:00	29	70
2019-07-02T00:00:00	29	156
2019-07-02T00:00:00	30	889
2019-07-02T00:00:00	30	152
2019-07-02T00:00:00	30	380
2019-07-02T00:00:00	30	515
2019-07-02T00:00:00	31	298
2019-07-02T00:00:00	33	684
2019-07-02T00:00:00	34	751
2019-07-02T00:00:00	34	143
2019-07-02T00:00:00	34	579
2019-07-02T00:00:00	34	354
2019-07-02T00:00:00	35	387
2019-07-02T00:00:00	36	422
2019-07-02T00:00:00	37	310
2019-07-02T00:00:00	37	531
2019-07-02T00:00:00	37	817
2019-07-02T00:00:00	37	10
2019-07-02T00:00:00	38	197
2019-07-02T00:00:00	38	153
2019-07-02T00:00:00	38	44
2019-07-02T00:00:00	38	66
2019-07-02T00:00:00	39	626
2019-07-02T00:00:00	39	71
2019-07-02T00:00:00	41	214
2019-07-02T00:00:00	42	457
2019-07-02T00:00:00	43	466
2019-07-02T00:00:00	43	77
2019-07-02T00:00:00	44	197
2019-07-02T00:00:00	44	38
2019-07-02T00:00:00	44	222
2019-07-02T00:00:00	45	481
2019-07-02T00:00:00	45	636
2019-07-02T00:00:00	45	103
2019-07-02T00:00:00	46	266
2019-07-02T00:00:00	46	285
2019-07-02T00:00:00	49	864
2019-07-02T00:00:00	49	274
2019-07-02T00:00:00	49	260
2019-07-02T00:00:00	49	745
2019-07-02T00:00:00	49	868
2019-07-02T00:00:00	49	929
2019-07-02T00:00:00	50	76
2019-07-02T00:00:00	50	592
2019-07-02T00:00:00	51	355
2019-07-02T00:00:00	51	59
2019-07-02T00:00:00	51	224
2019-07-02T00:00:00	51	602
2019-07-02T00:00:00	52	772
2019-07-02T00:00:00	52	801
2019-07-02T00:00:00	52	937
2019-07-02T00:00:00	52	193
2019-07-02T00:00:00	54	126
2019-07-02T00:00:00	56	19
2019-07-02T00:00:00	56	129
2019-07-02T00:00:00	58	979
2019-07-02T00:00:00	58	434
2019-07-02T00:00:00	58	975
2019-07-02T00:00:00	58	573
2019-07-02T00:00:00	58	966
2019-07-02T00:00:00	58	964
2019-07-02T00:00:00	59	881
2019-07-02T00:00:00	59	51
2019-07-02T00:00:00	59	602
2019-07-02T00:00:00	60	879
2019-07-02T00:00:00	61	159
2019-07-02T00:00:00	61	101
2019-07-02T00:00:00	61	371
2019-07-02T00:00:00	61	167
2019-07-02T00:00:00	62	588
2019-07-02T00:00:00	62	460
2019-07-02T00:00:00	62	22
2019-07-02T00:00:00	62	69
2019-07-02T00:00:00	63	934
2019-07-02T00:00:00	63	743
2019-07-02T00:00:00	63	264
2019-07-02T00:00:00	63	344
2019-07-02T00:00:00	64	339
2019-07-02T00:00:00	64	72
2019-07-02T00:00:00	64	943
2019-07-02T00:00:00	65	933
2019-07-02T00:00:00	66	38
2019-07-02T00:00:00	67	976
2019-07-02T00:00:00	67	954
2019-07-02T00:00:00	68	269
2019-07-02T00:00:00	68	909
2019-07-02T00:00:00	68	904
2019-07-02T00:00:00	68	226
2019-07-02T00:00:00	69	588
2019-07-02T00:00:00	69	93
2019-07-02T00:00:00	69	22
2019-07-02T00:00:00	69	62
2019-07-02T00:00:00	70	29
2019-07-02T00:00:00	70	202
2019-07-02T00:00:00	70	617
2019-07-02T00:00:00	70	584
2019-07-02T00:00:00	71	277
2019-07-02T00:00:00	71	484
2019-07-02T00:00:00	71	518
2019-07-02T00:00:00	71	39
2019-07-02T00:00:00	72	339
2019-07-02T00:00:00	72	943
2019-07-02T00:00:00	72	64
2019-07-02T00:00:00	73	152
2019-07-02T00:00:00	75	760
2019-07-02T00:00:00	75	575
2019-07-02T00:00:00	76	548
2019-07-02T00:00:00	76	415
2019-07-02T00:00:00	76	50
2019-07-02T00:00:00	76	592
2019-07-02T00:00:00	76	697
2019-07-02T00:00:00	77	466
2019-07-02T00:00:00	77	43
2019-07-02T00:00:00	78	736
2019-07-02T00:00:00	78	232
2019-07-02T00:00:00	78	944
2019-07-02T00:00:00	79	971
2019-07-02T00:00:00	80	972
2019-07-02T00:00:00	81	559
2019-07-02T00:00:00	81	893
2019-07-02T00:00:00	81	21
2019-07-02T00:00:00	82	145
2019-07-02T00:00:00	84	307
2019-07-02T00:00:00	84	660
2019-07-02T00:00:00	84	999
2019-07-02T00:00:00	86	206
2019-07-02T00:00:00	87	943
2019-07-02T00:00:00	88	211
2019-07-02T00:00:00	88	910
2019-07-02T00:00:00	88	763
2019-07-02T00:00:00	89	454
2019-07-02T00:00:00	90	192
2019-07-02T00:00:00	90	648
2019-07-02T00:00:00	90	780
2019-07-02T00:00:00	91	221
2019-07-02T00:00:00	92	521
2019-07-02T00:00:00	92	292
2019-07-02T00:00:00	92	413
2019-07-02T00:00:00	93	69
2019-07-02T00:00:00	94	446
2019-07-02T00:00:00	95	447
2019-07-02T00:00:00	95	148
2019-07-02T00:00:00	96	291
2019-07-02T00:00:00	96	411
2019-07-02T00:00:00	96	348
2019-07-02T00:00:00	97	491
2019-07-02T00:00:00	97	663
2019-07-02T00:00:00	98	694
2019-07-02T00:00:00	98	968
2019-07-02T00:00:00	98	474
2019-07-02T00:00:00	98	998
2019-07-02T00:00:00	99	353
2019-07-02T00:00:00	99	475
2019-07-02T00:00:00	100	174
2019-07-02T00:00:00	100	718
2019-07-02T00:00:00	100	403
2019-07-02T00:00:00	100	252
2019-07-02T00:00:00	101	159
2019-07-02T00:00:00	101	61
2019-07-02T00:00:00	101	167
2019-07-02T00:00:00	103	636
2019-07-02T00:00:00	103	45
2019-07-02T00:00:00	104	238
2019-07-02T00:00:00	104	268
2019-07-02T00:00:00	105	890
2019-07-02T00:00:00	110	15
2019-07-02T00:00:00	111	629
2019-07-02T00:00:00	111	123
2019-07-02T00:00:00	111	691
2019-07-02T00:00:00	111	908
2019-07-02T00:00:00	112	178
2019-07-02T00:00:00	113	293
2019-07-02T00:00:00	114	457
2019-07-02T00:00:00	116	124
2019-07-02T00:00:00	116	350
2019-07-02T00:00:00	118	304
2019-07-02T00:00:00	119	175
2019-07-02T00:00:00	119	752
2019-07-02T00:00:00	120	777
2019-07-02T00:00:00	120	877
2019-07-02T00:00:00	121	876
2019-07-02T00:00:00	121	392
2019-07-02T00:00:00	121	433
2019-07-02T00:00:00	122	437
2019-07-02T00:00:00	122	931
2019-07-02T00:00:00	122	655
2019-07-02T00:00:00	123	349
2019-07-02T00:00:00	123	111
2019-07-02T00:00:00	123	691
2019-07-02T00:00:00	123	438
2019-07-02T00:00:00	123	916
2019-07-02T00:00:00	123	977
2019-07-02T00:00:00	124	116
2019-07-02T00:00:00	124	958
2019-07-02T00:00:00	124	582
2019-07-02T00:00:00	124	852
2019-07-02T00:00:00	124	350
2019-07-02T00:00:00	125	949
2019-07-02T00:00:00	125	808
2019-07-02T00:00:00	126	535
2019-07-02T00:00:00	126	54
2019-07-02T00:00:00	126	532
2019-07-02T00:00:00	127	242
2019-07-02T00:00:00	127	319
2019-07-02T00:00:00	127	138
2019-07-02T00:00:00	128	977
2019-07-02T00:00:00	129	56
2019-07-02T00:00:00	129	349
2019-07-02T00:00:00	129	525
2019-07-02T00:00:00	129	19
2019-07-02T00:00:00	129	916
2019-07-02T00:00:00	130	836
2019-07-02T00:00:00	130	678
2019-07-02T00:00:00	130	478
2019-07-02T00:00:00	131	433
2019-07-02T00:00:00	132	688
2019-07-02T00:00:00	133	276
2019-07-02T00:00:00	133	411
2019-07-02T00:00:00	133	511
2019-07-02T00:00:00	133	348
2019-07-02T00:00:00	134	855
2019-07-02T00:00:00	134	798
2019-07-02T00:00:00	134	925
2019-07-02T00:00:00	135	329
2019-07-02T00:00:00	135	436
2019-07-02T00:00:00	136	839
2019-07-02T00:00:00	136	653
2019-07-02T00:00:00	136	732
2019-07-02T00:00:00	136	593
2019-07-02T00:00:00	137	653
2019-07-02T00:00:00	137	732
2019-07-02T00:00:00	137	557
2019-07-02T00:00:00	137	927
2019-07-02T00:00:00	138	127
2019-07-02T00:00:00	139	588
2019-07-02T00:00:00	140	409
2019-07-02T00:00:00	140	615
2019-07-02T00:00:00	140	418
2019-07-02T00:00:00	142	721
2019-07-02T00:00:00	142	176
2019-07-02T00:00:00	142	448
2019-07-02T00:00:00	142	682
2019-07-02T00:00:00	142	835
2019-07-02T00:00:00	143	751
2019-07-02T00:00:00	143	34
2019-07-02T00:00:00	143	579
2019-07-02T00:00:00	143	354
2019-07-02T00:00:00	145	82
2019-07-02T00:00:00	145	382
2019-07-02T00:00:00	146	508
2019-07-02T00:00:00	146	888
2019-07-02T00:00:00	147	738
2019-07-02T00:00:00	147	551
2019-07-02T00:00:00	147	541
2019-07-02T00:00:00	148	447
2019-07-02T00:00:00	148	885
2019-07-02T00:00:00	148	844
2019-07-02T00:00:00	148	95
2019-07-02T00:00:00	148	408
2019-07-02T00:00:00	149	575
2019-07-02T00:00:00	149	513
2019-07-02T00:00:00	149	161
2019-07-02T00:00:00	149	278
2019-07-02T00:00:00	149	557
2019-07-02T00:00:00	150	223
2019-07-02T00:00:00	151	614
2019-07-02T00:00:00	152	693
2019-07-02T00:00:00	152	30
2019-07-02T00:00:00	152	380
2019-07-02T00:00:00	152	73
2019-07-02T00:00:00	153	197
2019-07-02T00:00:00	153	38
2019-07-02T00:00:00	155	769
2019-07-02T00:00:00	155	685
2019-07-02T00:00:00	156	29
2019-07-02T00:00:00	156	584
2019-07-02T00:00:00	157	555
2019-07-02T00:00:00	157	947
2019-07-02T00:00:00	157	830
2019-07-02T00:00:00	157	567
2019-07-02T00:00:00	157	946
2019-07-02T00:00:00	157	280
2019-07-02T00:00:00	157	649
2019-07-02T00:00:00	157	11
2019-07-02T00:00:00	158	863
2019-07-02T00:00:00	158	554
2019-07-02T00:00:00	158	248
2019-07-02T00:00:00	159	101
2019-07-02T00:00:00	159	371
2019-07-02T00:00:00	159	61
2019-07-02T00:00:00	159	167
2019-07-02T00:00:00	160	410
2019-07-02T00:00:00	161	373
2019-07-02T00:00:00	161	513
2019-07-02T00:00:00	161	149
2019-07-02T00:00:00	162	456
2019-07-02T00:00:00	165	182
2019-07-02T00:00:00	166	465
2019-07-02T00:00:00	166	566
2019-07-02T00:00:00	167	159
2019-07-02T00:00:00	167	101
2019-07-02T00:00:00	167	371
2019-07-02T00:00:00	167	61
2019-07-02T00:00:00	168	832
2019-07-02T00:00:00	168	951
2019-07-02T00:00:00	168	935
2019-07-02T00:00:00	169	476
2019-07-02T00:00:00	169	711
2019-07-02T00:00:00	169	679
2019-07-02T00:00:00	170	502
2019-07-02T00:00:00	171	636
2019-07-02T00:00:00	172	750
2019-07-02T00:00:00	173	322
2019-07-02T00:00:00	174	718
2019-07-02T00:00:00	174	403
2019-07-02T00:00:00	174	100
2019-07-02T00:00:00	174	252
2019-07-02T00:00:00	175	119
2019-07-02T00:00:00	176	328
2019-07-02T00:00:00	176	293
2019-07-02T00:00:00	176	142
2019-07-02T00:00:00	176	448
2019-07-02T00:00:00	176	835
2019-07-02T00:00:00	177	994
2019-07-02T00:00:00	178	761
2019-07-02T00:00:00	178	112
2019-07-02T00:00:00	180	570
2019-07-02T00:00:00	180	899
2019-07-02T00:00:00	181	560
2019-07-02T00:00:00	182	165
2019-07-02T00:00:00	183	389
2019-07-02T00:00:00	183	575
2019-07-02T00:00:00	183	910
2019-07-02T00:00:00	186	306
2019-07-02T00:00:00	186	426
2019-07-02T00:00:00	186	544
2019-07-02T00:00:00	186	834
2019-07-02T00:00:00	186	838
2019-07-02T00:00:00	186	533
2019-07-02T00:00:00	186	848
2019-07-02T00:00:00	186	308
2019-07-02T00:00:00	187	27
2019-07-02T00:00:00	187	851
2019-07-02T00:00:00	187	504
2019-07-02T00:00:00	188	191
2019-07-02T00:00:00	188	956
2019-07-02T00:00:00	190	858
2019-07-02T00:00:00	190	854
2019-07-02T00:00:00	190	198
2019-07-02T00:00:00	190	852
2019-07-02T00:00:00	190	631
2019-07-02T00:00:00	190	840
2019-07-02T00:00:00	191	715
2019-07-02T00:00:00	191	188
2019-07-02T00:00:00	192	90
2019-07-02T00:00:00	193	772
2019-07-02T00:00:00	193	801
2019-07-02T00:00:00	193	937
2019-07-02T00:00:00	193	810
2019-07-02T00:00:00	193	52
2019-07-02T00:00:00	195	360
2019-07-02T00:00:00	196	983
2019-07-02T00:00:00	197	38
2019-07-02T00:00:00	197	153
2019-07-02T00:00:00	197	44
2019-07-02T00:00:00	198	794
2019-07-02T00:00:00	198	854
2019-07-02T00:00:00	198	190
2019-07-02T00:00:00	198	631
2019-07-02T00:00:00	198	840
2019-07-02T00:00:00	199	6
2019-07-02T00:00:00	200	786
2019-07-02T00:00:00	200	534
2019-07-02T00:00:00	201	450
2019-07-02T00:00:00	201	443
2019-07-02T00:00:00	202	29
2019-07-02T00:00:00	202	617
2019-07-02T00:00:00	202	70
2019-07-02T00:00:00	204	417
2019-07-02T00:00:00	204	781
2019-07-02T00:00:00	205	587
2019-07-02T00:00:00	205	19
2019-07-02T00:00:00	206	86
2019-07-02T00:00:00	207	846
2019-07-02T00:00:00	207	599
2019-07-02T00:00:00	208	272
2019-07-02T00:00:00	209	702
2019-07-02T00:00:00	210	749
2019-07-02T00:00:00	210	598
2019-07-02T00:00:00	210	897
2019-07-02T00:00:00	210	894
2019-07-02T00:00:00	210	367
2019-07-02T00:00:00	211	910
2019-07-02T00:00:00	211	314
2019-07-02T00:00:00	211	88
2019-07-02T00:00:00	211	763
2019-07-02T00:00:00	212	821
2019-07-02T00:00:00	214	833
2019-07-02T00:00:00	214	830
2019-07-02T00:00:00	214	41
2019-07-02T00:00:00	214	578
2019-07-02T00:00:00	215	421
2019-07-02T00:00:00	215	618
2019-07-02T00:00:00	216	870
2019-07-02T00:00:00	219	512
2019-07-02T00:00:00	221	334
2019-07-02T00:00:00	221	91
2019-07-02T00:00:00	222	44
2019-07-02T00:00:00	223	536
2019-07-02T00:00:00	223	506
2019-07-02T00:00:00	223	150
2019-07-02T00:00:00	224	881
2019-07-02T00:00:00	224	900
2019-07-02T00:00:00	224	51
2019-07-02T00:00:00	226	269
2019-07-02T00:00:00	226	909
2019-07-02T00:00:00	226	701
2019-07-02T00:00:00	226	904
2019-07-02T00:00:00	226	68
2019-07-02T00:00:00	226	504
2019-07-02T00:00:00	227	424
2019-07-02T00:00:00	228	352
2019-07-02T00:00:00	231	792
2019-07-02T00:00:00	231	641
2019-07-02T00:00:00	231	702
2019-07-02T00:00:00	231	255
2019-07-02T00:00:00	231	519
2019-07-02T00:00:00	232	736
2019-07-02T00:00:00	232	944
2019-07-02T00:00:00	232	78
2019-07-02T00:00:00	233	976
2019-07-02T00:00:00	233	530
2019-07-02T00:00:00	234	317
2019-07-02T00:00:00	234	987
2019-07-02T00:00:00	234	991
2019-07-02T00:00:00	236	661
2019-07-02T00:00:00	236	427
2019-07-02T00:00:00	238	870
2019-07-02T00:00:00	238	268
2019-07-02T00:00:00	238	340
2019-07-02T00:00:00	238	104
2019-07-02T00:00:00	239	451
2019-07-02T00:00:00	239	485
2019-07-02T00:00:00	239	338
2019-07-02T00:00:00	239	706
2019-07-02T00:00:00	239	933
2019-07-02T00:00:00	239	867
2019-07-02T00:00:00	240	485
2019-07-02T00:00:00	240	23
2019-07-02T00:00:00	240	331
2019-07-02T00:00:00	242	654
2019-07-02T00:00:00	242	319
2019-07-02T00:00:00	242	127
2019-07-02T00:00:00	243	417
2019-07-02T00:00:00	243	928
2019-07-02T00:00:00	243	723
2019-07-02T00:00:00	244	708
2019-07-02T00:00:00	245	345
2019-07-02T00:00:00	246	369
2019-07-02T00:00:00	247	729
2019-07-02T00:00:00	247	522
2019-07-02T00:00:00	248	158
2019-07-02T00:00:00	248	554
2019-07-02T00:00:00	250	520
2019-07-02T00:00:00	252	174
2019-07-02T00:00:00	252	718
2019-07-02T00:00:00	252	403
2019-07-02T00:00:00	252	100
2019-07-02T00:00:00	253	760
2019-07-02T00:00:00	253	633
2019-07-02T00:00:00	253	575
2019-07-02T00:00:00	253	728
2019-07-02T00:00:00	254	579
2019-07-02T00:00:00	254	408
2019-07-02T00:00:00	255	399
2019-07-02T00:00:00	255	231
2019-07-02T00:00:00	255	641
2019-07-02T00:00:00	255	519
2019-07-02T00:00:00	258	519
2019-07-02T00:00:00	260	49
2019-07-02T00:00:00	260	274
2019-07-02T00:00:00	260	305
2019-07-02T00:00:00	260	745
2019-07-02T00:00:00	261	917
2019-07-02T00:00:00	261	290
2019-07-02T00:00:00	261	831
2019-07-02T00:00:00	262	281
2019-07-02T00:00:00	262	861
2019-07-02T00:00:00	262	356
2019-07-02T00:00:00	263	378
2019-07-02T00:00:00	264	63
2019-07-02T00:00:00	264	344
2019-07-02T00:00:00	266	872
2019-07-02T00:00:00	266	46
2019-07-02T00:00:00	266	285
2019-07-02T00:00:00	267	554
2019-07-02T00:00:00	268	238
2019-07-02T00:00:00	268	104
2019-07-02T00:00:00	269	909
2019-07-02T00:00:00	269	24
2019-07-02T00:00:00	269	904
2019-07-02T00:00:00	269	226
2019-07-02T00:00:00	269	68
2019-07-02T00:00:00	270	647
2019-07-02T00:00:00	270	719
2019-07-02T00:00:00	271	424
2019-07-02T00:00:00	272	208
2019-07-02T00:00:00	274	864
2019-07-02T00:00:00	274	49
2019-07-02T00:00:00	274	260
2019-07-02T00:00:00	274	745
2019-07-02T00:00:00	274	868
2019-07-02T00:00:00	275	713
2019-07-02T00:00:00	276	133
2019-07-02T00:00:00	276	411
2019-07-02T00:00:00	276	511
2019-07-02T00:00:00	277	518
2019-07-02T00:00:00	277	71
2019-07-02T00:00:00	278	373
2019-07-02T00:00:00	278	513
2019-07-02T00:00:00	278	149
2019-07-02T00:00:00	279	806
2019-07-02T00:00:00	280	946
2019-07-02T00:00:00	280	157
2019-07-02T00:00:00	281	262
2019-07-02T00:00:00	281	356
2019-07-02T00:00:00	283	388
2019-07-02T00:00:00	283	828
2019-07-02T00:00:00	285	469
2019-07-02T00:00:00	285	266
2019-07-02T00:00:00	285	46
2019-07-02T00:00:00	286	939
2019-07-02T00:00:00	286	616
2019-07-02T00:00:00	286	565
2019-07-02T00:00:00	288	346
2019-07-02T00:00:00	288	639
2019-07-02T00:00:00	290	917
2019-07-02T00:00:00	290	261
2019-07-02T00:00:00	290	875
2019-07-02T00:00:00	290	831
2019-07-02T00:00:00	290	333
2019-07-02T00:00:00	290	874
2019-07-02T00:00:00	291	832
2019-07-02T00:00:00	291	951
2019-07-02T00:00:00	291	96
2019-07-02T00:00:00	291	486
2019-07-02T00:00:00	291	687
2019-07-02T00:00:00	291	935
2019-07-02T00:00:00	292	521
2019-07-02T00:00:00	292	92
2019-07-02T00:00:00	293	328
2019-07-02T00:00:00	293	176
2019-07-02T00:00:00	293	570
2019-07-02T00:00:00	293	835
2019-07-02T00:00:00	293	113
2019-07-02T00:00:00	295	808
2019-07-02T00:00:00	295	931
2019-07-02T00:00:00	296	300
2019-07-02T00:00:00	298	31
2019-07-02T00:00:00	298	929
2019-07-02T00:00:00	299	632
2019-07-02T00:00:00	299	960
2019-07-02T00:00:00	300	296
2019-07-02T00:00:00	300	962
2019-07-02T00:00:00	302	563
2019-07-02T00:00:00	302	812
2019-07-02T00:00:00	304	118
2019-07-02T00:00:00	305	864
2019-07-02T00:00:00	305	260
2019-07-02T00:00:00	305	745
2019-07-02T00:00:00	306	426
2019-07-02T00:00:00	306	544
2019-07-02T00:00:00	306	834
2019-07-02T00:00:00	306	838
2019-07-02T00:00:00	306	186
2019-07-02T00:00:00	306	848
2019-07-02T00:00:00	307	660
2019-07-02T00:00:00	307	744
2019-07-02T00:00:00	307	84
2019-07-02T00:00:00	308	533
